zone_id,observation_count,total_precipitation,mean_precipitation,max_precipitation,wet_intervals,pct_wet_intervals,grid_lat,grid_lon,latitude,longitude
2,12,0.0,0.0,0.0,0,0.0,40.625,-73.825,40.6257,-73.8261
3,12,0.0,0.0,0.0,0,0.0,40.865,-73.845,40.8659,-73.8495
4,12,0.0,0.0,0.0,0,0.0,40.725,-73.975,40.7242,-73.977
5,12,0.0,0.0,0.0,0,0.0,40.555,-74.185,40.5503,-74.1899
6,12,0.0,0.0,0.0,0,0.0,40.595,-74.065,40.5991,-74.0678
7,12,0.0,0.0,0.0,0,0.0,40.765,-73.925,40.7611,-73.9215
8,12,0.0,0.0,0.0,0,0.0,40.775,-73.925,40.7786,-73.9232
9,12,0.0,0.0,0.0,0,0.0,40.755,-73.785,40.7544,-73.788
10,12,0.0,0.0,0.0,0,0.0,40.675,-73.795,40.6781,-73.7917
11,12,0.0,0.0,0.0,0,0.0,40.605,-74.015,40.604,-74.0106
